CO_MUNICIPIO;SG_UF;NO_UF;NO_MUNICIPIO;CN;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;DE_ALTERACAO_REGULAMENTAR;VIGENTE
1100015;RO;RONDÔNIA;"Alta Floresta D'Oeste";69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100023;RO;RONDÔNIA;Ariquemes;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100031;RO;RONDÔNIA;Cabixi;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100049;RO;RONDÔNIA;Cacoal;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100056;RO;RONDÔNIA;Cerejeiras;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100064;RO;RONDÔNIA;Colorado do Oeste;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100072;RO;RONDÔNIA;Corumbiara;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100080;RO;RONDÔNIA;Costa Marques;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100098;RO;RONDÔNIA;"Espigão D'Oeste";69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100106;RO;RONDÔNIA;Guajará-Mirim;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100114;RO;RONDÔNIA;Jaru;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100122;RO;RONDÔNIA;Ji-Paraná;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100130;RO;RONDÔNIA;"Machadinho D'Oeste";69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100148;RO;RONDÔNIA;"Nova Brasilândia D'Oeste";69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100155;RO;RONDÔNIA;Ouro Preto do Oeste;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100189;RO;RONDÔNIA;Pimenta Bueno;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100205;RO;RONDÔNIA;Porto Velho;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100254;RO;RONDÔNIA;Presidente Médici;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
